Region,Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Park Accepted,Sens?,Record Status,Occurrence,Occurrence Tags,Nativeness,Nativeness Tags,Abundance,NPS Tags,Park Tags,Internal Park Tags,References,Observations,Vouchers,ExternalLinks,T&E,State Status,Ozone,GRank,SRank
,ACAD,Acadia National Park,Mammal,1,Artiodactyla,Cervidae,95052,180703,Active,Alces alces,Moose,,Accepted,No,Approved,Present,,Native,,Rare,Resident,,,11,1,,,,,,G5,ME: S5
,ACAD,Acadia National Park,Mammal,1,Artiodactyla,Cervidae,95046,180699,Active,Odocoileus virginianus,"Northern White-tailed Deer, Virginia Deer, White-tailed Deer",,Accepted,No,Approved,Present,,Native,,Abundant,,,,20,,,,,,,G5,ME: S5
,ACAD,Acadia National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,"Coyote, Eastern Coyote",,Accepted,No,Approved,Present,,Non-native,,Common,,,,8,1,,,SC,,,G5,ME: S5
,ACAD,Acadia National Park,Mammal,1,Carnivora,Canidae,93337,180596,Active,Canis lupus,"Eastern Timber Wolf, Gray Wolf, Timber Wolf",,Accepted,No,Approved,Unconfirmed,,Native,,,,,,2,,,,E,,,G5,ME: SH
,ACAD,Acadia National Park,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,"Black Fox, Cross Fox, Eastern Red Fox, Fox, Red Fox, Silver Fox",,Accepted,No,Approved,Present,,Unknown,,Common,Breeder,,,16,,,,,,,G5,ME: S5
,ACAD,Acadia National Park,Mammal,1,Carnivora,Felidae,93325,180585,Active,Lynx canadensis,Canada Lynx,,Accepted,No,Approved,Unconfirmed,,Native,,,,,,1,,,,,ME: SC,,G5,ME: S2
,ACAD,Acadia National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,"Bay Lynx, Bobcat, Red Lynx, Wild Cat",,Accepted,No,Approved,Present,,Non-native,,,Vagrant,,,7,,,,RT,,,G5,ME: S5
,ACAD,Acadia National Park,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,"Eastern Skunk, Polecat, Striped Skunk",,Accepted,No,Approved,Not In Park,Historical,Native,,,,,,10,,,,,,,G5,ME: S5
,ACAD,Acadia National Park,Mammal,1,Carnivora,Mustelidae,93311,180572,Active,Lutra canadensis,"Otter, River Otter",,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,10,,,,,,,,
,ACAD,Acadia National Park,Mammal,1,Carnivora,Mustelidae,93298,180560,Active,Martes pennanti,"Blackcat, Fisher, Pekan",,Accepted,No,Approved,Present,,Native,,Rare,,,,5,,,,,,,,
,ACAD,Acadia National Park,Mammal,1,Carnivora,Mustelidae,93289,180552,Active,Mustela,Weasel,,Undecided,No,In Review,Unconfirmed,,Unknown,,,,,,2,,,,,,,,
,ACAD,Acadia National Park,Mammal,1,Carnivora,Mustelidae,93292,180555,Active,Mustela erminea,"Bonaparte Weasel, Bonaparte's Weasel, Ermine, Short-tailed Weasel",,Accepted,No,Approved,Present,,Native,,Uncommon,,,,7,1,,,,,,GNR,
,ACAD,Acadia National Park,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,"Long-tailed Weasel, New York Weasel, Northern Long-tailed Weasel",,Accepted,No,Approved,Present,,Native,,Uncommon,,,,6,,,,,,,,
,ACAD,Acadia National Park,Mammal,1,Carnivora,Mustelidae,151663,-501712,Inactive,Mustela macrodon,"Ancient Sea Mink, Big Sea Mink, Sea Mink",,Accepted,No,Approved,Unconfirmed,,Native,,,,,,1,,,,,,,,
,ACAD,Acadia National Park,Mammal,1,Carnivora,Mustelidae,93290,180553,Active,Mustela vison,"American Mink, Mink",,Accepted,No,Approved,Present,,Native,,Uncommon,,,,14,1,,,,,,,
,ACAD,Acadia National Park,Mammal,1,Carnivora,Odobenidae,93385,180639,Active,Odobenus rosmarus,Walrus,,Accepted,No,Approved,Unconfirmed,,Non-native,,,,,,1,,,,,,,G4,
,ACAD,Acadia National Park,Mammal,1,Carnivora,Phocidae,93401,180653,Active,Halichoerus grypus,Gray Seal,,Accepted,No,Approved,Unconfirmed,,Native,,,,,,2,,,,,,,G5,ME: S1
,ACAD,Acadia National Park,Mammal,1,Carnivora,Phocidae,93396,180649,Active,Phoca vitulina,"Common Seal, Hair Seal, Harbor Seal",,Accepted,No,Approved,Unconfirmed,,Native,,,,,,6,1,,,,,,G5,ME: S5
,ACAD,Acadia National Park,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,"Common Raccoon, Raccoon",,Accepted,No,Approved,Present,,Native,,Common,,,,15,,,,,,,G5,ME: S5
,ACAD,Acadia National Park,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,Black Bear,,Accepted,No,Approved,Present,,Native,,Occasional,,,,6,,,,,,,G5,ME: S5
,ACAD,Acadia National Park,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,"Big Brown Bat, Common Brown Bat",,Accepted,No,Approved,Present,,Native,,Uncommon,,,,9,,,,SC,,,G5,ME: S4
,ACAD,Acadia National Park,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,Silver-haired Bat,,Accepted,No,Approved,Present,,Native,,Unknown,,,,3,,,,SC,ME: SC,,G3G4,ME: SU
,ACAD,Acadia National Park,Mammal,1,Chiroptera,Vespertilionidae,88739,180016,Active,Lasiurus borealis,"Eastern Red Bat, New York Bat, Northern Red Bat, Red Bat",,Accepted,No,Approved,Present,,Native,,Occasional,Migratory,,,8,,,,,ME: SC,,G3G4,ME: SU
,ACAD,Acadia National Park,Mammal,1,Chiroptera,Vespertilionidae,88740,180017,Active,Lasiurus cinereus,Hoary Bat,,Accepted,No,Approved,Present,,Native,,Unknown,,,,6,,,,SU,ME: SC,,G3G4,ME: SU
,ACAD,Acadia National Park,Mammal,1,Chiroptera,Vespertilionidae,88707,179989,Active,Myotis keenii,"Keen's Myotis, Northern Long-eared Bat, Northern Myotis, Say's Bat",,Accepted,No,Approved,Present,,Native,,Common,,,,6,,,,SC,,,G3,
,ACAD,Acadia National Park,Mammal,1,Chiroptera,Vespertilionidae,88718,179999,Active,Myotis leibii,"Eastern Small-footed Myotis, Small-footed Myotis",,Accepted,No,Approved,Not In Park,Historical,Native,,,,,,6,1,,,,ME: T,,G4,ME: S1S2
,ACAD,Acadia National Park,Mammal,1,Chiroptera,Vespertilionidae,88706,179988,Active,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",,Accepted,No,Approved,Present,,Native,,Common,,,,9,1,,,UR,ME: E,,G3G4,ME: S5
,ACAD,Acadia National Park,Mammal,1,Chiroptera,Vespertilionidae,88749,180025,Active,Pipistrellus subflavus,"Eastern Pipistrelle, Northern Georgian Bat",,Accepted,No,Approved,Not In Park,False Report,Non-native,,,,,,1,,,,SU,ME: SC,,,
,ACAD,Acadia National Park,Mammal,1,Lagomorpha,Leporidae,89638,180112,Active,Lepus americanus,"Snowshoe Hare, Varying Hare",,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,18,,,,,,,G5,ME: S5
,ACAD,Acadia National Park,Mammal,1,Rodentia,Castoridae,90673,180212,Active,Castor canadensis,"American Beaver, Beaver, Canadian Beaver",,Accepted,No,Approved,Present,,Non-native,,Common,Breeder,,,12,,,,,,,G5,ME: S5
,ACAD,Acadia National Park,Mammal,1,Rodentia,Cricetidae,90763,180294,Active,Clethrionomys gapperi,"Boreal Redback Vole, Red-backed Mouse, Red-backed Vole, Southern Red-backed Vole, White-Mountain Red-backed Mouse",,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,20,3,,,,,,G5,ME: S5
,ACAD,Acadia National Park,Mammal,1,Rodentia,Cricetidae,90766,180297,Active,Microtus pennsylvanicus,"Field Mouse, Meadow Mouse, Meadow Vole",,Accepted,No,Approved,Not In Park,Historical,Native,,,Breeder,,,16,2,,,,,,G5,ME: S5
,ACAD,Acadia National Park,Mammal,1,Rodentia,Cricetidae,91709,180318,Active,Ondatra zibethicus,"Common Muskrat, Muskrat, Musquash, Water Rat",,Accepted,No,Approved,Not In Park,Historical,Native,,,,,,12,,,,,,,G5,ME: S5
,ACAD,Acadia National Park,Mammal,1,Rodentia,Cricetidae,90745,180278,Active,Peromyscus leucopus,White-footed Mouse,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,10,1,,,,,,G5,ME: S5
,ACAD,Acadia National Park,Mammal,1,Rodentia,Cricetidae,90743,180276,Active,Peromyscus maniculatus,Deer Mouse,,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,,,21,5,,,,,,G5,ME: S5
,ACAD,Acadia National Park,Mammal,1,Rodentia,Cricetidae,91716,180324,Active,Synaptomys cooperi,"Cooper Lemming Mouse, Southern Bog Lemming",,Accepted,No,Approved,Present,,Native,,Rare,Breeder,,,6,1,,,,,,G5,ME: S4
,ACAD,Acadia National Park,Mammal,1,Rodentia,Dipodidae,91789,180390,Active,Napaeozapus insignis,Woodland Jumping Mouse,,Accepted,No,Approved,Present,,Native,,Rare,Breeder,,,11,2,,,,,,G5,ME: S5
,ACAD,Acadia National Park,Mammal,1,Rodentia,Dipodidae,91784,180386,Active,Zapus hudsonius,"Hudson Bay Jumping Mouse, Kangaroo Mouse, Meadow Jumping Mouse",,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,11,1,,,,,,G5,ME: S5
,ACAD,Acadia National Park,Mammal,1,Rodentia,Erethizontidae,91792,180393,Active,Erethizon dorsatum,"Hedgehog, Porcupine",,Accepted,No,Approved,Present,,Non-native,,Common,Breeder,,,8,,,,,,,G5,ME: S5
,ACAD,Acadia National Park,Mammal,1,Rodentia,Muridae,91762,180366,Active,Mus musculus,House Mouse,,Accepted,No,Approved,Not In Park,Historical,Non-native,,,,,,6,,,,,,,G5,ME: SNA
,ACAD,Acadia National Park,Mammal,1,Rodentia,Muridae,91759,180363,Active,Rattus norvegicus,"Brown Rat, Norway Rat",,Accepted,No,Approved,Unconfirmed,,Non-native,,,,,,3,,,,,,,G5,ME: SNA
,ACAD,Acadia National Park,Mammal,1,Rodentia,Sciuridae,89699,180168,Active,Glaucomys,Glaucomys sp.,,Undecided,No,In Review,Unconfirmed,,Non-native,,,,,,1,,,,,,,,
,ACAD,Acadia National Park,Mammal,1,Rodentia,Sciuridae,89700,180169,Active,Glaucomys sabrinus,"Mearns Flying Squirrel, Northern Flying Squirrel",,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,13,2,,,,,,G5,ME: S5
,ACAD,Acadia National Park,Mammal,1,Rodentia,Sciuridae,89702,180170,Active,Glaucomys volans,Southern Flying Squirrel,,Accepted,No,Approved,Unconfirmed,,Non-native,,,,,,2,,,,,,,G5,ME: SU
,ACAD,Acadia National Park,Mammal,1,Rodentia,Sciuridae,89665,180137,Active,Marmota monax,"Groundhog, New England Woodchuck, Woodchuck",,Accepted,No,Approved,Present,,Non-native,,Common,Breeder,,,6,,,,,,,G5,ME: S5
