Region,Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Park Accepted,Sens?,Record Status,Occurrence,Occurrence Tags,Nativeness,Nativeness Tags,Abundance,NPS Tags,Park Tags,Internal Park Tags,References,Observations,Vouchers,ExternalLinks,T&E,State Status,Ozone,GRank,SRank
,GLAC,Glacier National Park,Mammal,1,,,672474,-744892,Active,Clethrionomys gapperi idahoensis,,,Undecided,No,In Review,,,,,,,,,,,2,,,,,,
,GLAC,Glacier National Park,Mammal,1,Artiodactyla,Bovidae,95055,180706,Active,Bison bison,Bison,,Accepted,No,Approved,Not In Park,Historical,Native,,,,,,1,,,,,,,G4,MT: S2
,GLAC,Glacier National Park,Mammal,1,Artiodactyla,Bovidae,95063,180713,Active,Oreamnos americanus,mountain goat,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,1,,,,,,,G5,MT: S4
,GLAC,Glacier National Park,Mammal,1,Artiodactyla,Bovidae,95061,180711,Active,Ovis canadensis,bighorn sheep,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,1,,,,SC,,,G4,MT: S4
,GLAC,Glacier National Park,Mammal,1,Artiodactyla,Cervidae,95052,180703,Active,Alces alces,moose,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,1,,,,,,,G5,MT: S4
,GLAC,Glacier National Park,Mammal,1,Artiodactyla,Cervidae,95042,180695,Active,Cervus elaphus,elk,,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,,,3,,,,,,,G5,MT: S5
,GLAC,Glacier National Park,Mammal,1,Artiodactyla,Cervidae,95045,180698,Active,Odocoileus hemionus,mule deer,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,,,,,,,G5,MT: S5
,GLAC,Glacier National Park,Mammal,1,Artiodactyla,Cervidae,95046,180699,Active,Odocoileus virginianus,white-tailed deer,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,3,,,,,,,G5,MT: S5
,GLAC,Glacier National Park,Mammal,1,Artiodactyla,Cervidae,95050,180701,Active,Rangifer tarandus,"caribou, reindeer, Reindeer",,Accepted,No,Approved,Not In Park,Historical,Native,,,,,,1,,,,,,,G5,MT: SX
,GLAC,Glacier National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,coyote,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,,,,SC,,,G5,MT: S5
,GLAC,Glacier National Park,Mammal,1,Carnivora,Canidae,93337,180596,Active,Canis lupus,gray wolf,,Accepted,No,Approved,Present,,Native,,Rare,Breeder,,,2,,,,UR,,,G5,MT: S4
,GLAC,Glacier National Park,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,red fox,,Accepted,No,Approved,Present,,Native,,Rare,Resident,,,1,,,,,,,G5,MT: S5
,GLAC,Glacier National Park,Mammal,1,Carnivora,Felidae,93325,180585,Active,Lynx canadensis,lynx,,Accepted,No,Approved,Present,,Native,,Rare,Breeder,,,2,,,,T,MT: SOC,,G5,MT: S3
,GLAC,Glacier National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,bobcat,,Accepted,No,Approved,Present,,Native,,Occasional,Resident,,,1,,,,RT,,,G5,MT: S5
,GLAC,Glacier National Park,Mammal,1,Carnivora,Felidae,260571,552479,Active,Puma concolor,mountain lion,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,,,,,,,G5,MT: S4
,GLAC,Glacier National Park,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,striped skunk,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,,,,,,,G5,MT: S5
,GLAC,Glacier National Park,Mammal,1,Carnivora,Mustelidae,93288,180551,Active,Gulo gulo,wolverine,,Accepted,No,Approved,Present,,Native,,Rare,Breeder,,,1,,,,,MT: SOC,,G4,MT: S3
,GLAC,Glacier National Park,Mammal,1,Carnivora,Mustelidae,93311,180572,Active,Lutra canadensis,river otter,,Accepted,No,Approved,Present,,Native,,Rare,Breeder,,,1,,,,,,,,
,GLAC,Glacier National Park,Mammal,1,Carnivora,Mustelidae,93296,180559,Active,Martes americana,marten,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,,,,,,,G5,MT: S4
,GLAC,Glacier National Park,Mammal,1,Carnivora,Mustelidae,93298,180560,Active,Martes pennanti,fisher,,Accepted,No,Approved,Present,,Native,,Rare,Breeder,,,1,,,,,,,,
