Region,Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Park Accepted,Sens?,Record Status,Occurrence,Occurrence Tags,Nativeness,Nativeness Tags,Abundance,NPS Tags,Park Tags,Internal Park Tags,References,Observations,Vouchers,ExternalLinks,T&E,State Status,Ozone,GRank,SRank
,GRTE,Grand Teton National Park,Mammal,1,Artiodactyla,Antilocapridae,95067,180717,Active,Antilocapra americana,"pronghorn, Pronghorn",,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,1,1,,,,,,G5,WY: S5
,GRTE,Grand Teton National Park,Mammal,1,Artiodactyla,Bovidae,107797,203618,Active,Bos bison,"American bison, bison",Bison bison,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,1,1,,,,WY: SOC,,,
,GRTE,Grand Teton National Park,Mammal,1,Artiodactyla,Bovidae,95063,180713,Active,Oreamnos americanus,"mountain goat, Mountain Goat, Rocky Mountain goat",,Accepted,No,Approved,Probably Present,,Non-native,,,,,,1,1,,,,,,G5,WY: SNA
,GRTE,Grand Teton National Park,Mammal,1,Artiodactyla,Bovidae,95061,180711,Active,Ovis canadensis,"bighorn sheep, Bighorn Sheep",,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,46,,,SC,"WY: NSS4(Bc),SOPC",,G4,WY: S2S3
,GRTE,Grand Teton National Park,Mammal,1,Artiodactyla,Cervidae,95052,180703,Active,Alces alces,"Eurasian Elk, moose",,Accepted,No,Approved,Present,,Unknown,,Common,Breeder,,,1,75,,,,,,G5,WY: S4
,GRTE,Grand Teton National Park,Mammal,1,Artiodactyla,Cervidae,95042,180695,Active,Cervus elaphus,Elk,,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,,,1,1,,,,,,G5,WY: S5
,GRTE,Grand Teton National Park,Mammal,1,Artiodactyla,Cervidae,95045,180698,Active,Odocoileus hemionus,"mule deer, Mule Deer",,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,1,50,,,,,,G5,WY: S5
,GRTE,Grand Teton National Park,Mammal,1,Artiodactyla,Cervidae,95046,180699,Active,Odocoileus virginianus,"white-tailed deer, White-tailed Deer",,Accepted,No,Approved,Present,,Unknown,,Uncommon,Breeder,,,1,1,,,,,,G5,WY: S5
,GRTE,Grand Teton National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,Coyote,,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,,,1,36,,,SC,,,G5,WY: S5
,GRTE,Grand Teton National Park,Mammal,1,Carnivora,Canidae,93337,180596,Active,Canis lupus,"Gray Wolf, Wolf",,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,4,,,E,WY: SOC,,G5,WY: S1
,GRTE,Grand Teton National Park,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,Red Fox,,Accepted,No,Approved,Present,,Unknown,,Uncommon,Breeder,,,1,17,,,,,,G5,WY: S5
,GRTE,Grand Teton National Park,Mammal,1,Carnivora,Felidae,93325,180585,Active,Lynx canadensis,"Canada lynx, Canadian Lynx, lynx",,Accepted,No,Approved,Present,,Native,,Occasional,Resident,,,1,4,,,T,"WY: NSS1(Aa),SOC",,G5,WY: S1
,GRTE,Grand Teton National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,Bobcat,Felis rufus,Accepted,No,Approved,Probably Present,,Native,,,,,,1,1,,,RT,,,G5,WY: S5
,GRTE,Grand Teton National Park,Mammal,1,Carnivora,Felidae,260571,552479,Active,Puma concolor,"Cougar, mountain lion, Puma",Felis concolor,Accepted,No,Approved,Probably Present,,Native,,,,,,1,1,,,,,,G5,WY: S4
