Region,Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Park Accepted,Sens?,Record Status,Occurrence,Occurrence Tags,Nativeness,Nativeness Tags,Abundance,NPS Tags,Park Tags,Internal Park Tags,References,Observations,Vouchers,ExternalLinks,T&E,State Status,Ozone,GRank,SRank
,INDU,Indiana Dunes National Park,Mammal,1,Artiodactyla,Bovidae,95055,180706,Active,Bison bison,"American bison, American Bison, bison",,Accepted,No,Approved,Not In Park,Historical,Native,,,,,,1,,,,,,,G4,IN: SX
,INDU,Indiana Dunes National Park,Mammal,1,Artiodactyla,Cervidae,95042,180695,Active,Cervus elaphus,"elk, Red Deer (see comments), wapiti, wapiti or elk",,Accepted,No,Approved,Not In Park,Historical,Native,,,,,,1,,,,,,,G5,IN: SX
,INDU,Indiana Dunes National Park,Mammal,1,Artiodactyla,Cervidae,95046,180699,Active,Odocoileus virginianus,white-tailed deer,,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,,,2,,,,,,,G5,IN: S5
,INDU,Indiana Dunes National Park,Mammal,1,Carnivora,Canidae,86124,183815,Active,Canis familiaris,"domestic dog, domestic dog (feral)",,Accepted,No,Approved,Present,,Non-native,,Rare,Vagrant,,,1,,,,,,,,
,INDU,Indiana Dunes National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,Coyote,,Accepted,No,Approved,Present,,Native,,Unknown,,,,1,,,,SC,,,G5,IN: S4
,INDU,Indiana Dunes National Park,Mammal,1,Carnivora,Canidae,93337,180596,Active,Canis lupus,"Gray Wolf, Wolf",,Accepted,No,Approved,Not In Park,Historical,Native,,,,,,1,,,,E,,,G5,IN: SX
,INDU,Indiana Dunes National Park,Mammal,1,Carnivora,Canidae,93343,180600,Active,Canis rufus,Red Wolf,,Accepted,No,Approved,Not In Park,Historical,Native,,,,,,1,,,,,,,G1,IN: SX
,INDU,Indiana Dunes National Park,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,gray fox,,Accepted,No,Approved,Present,,Native,,Rare,,,,1,,,,,,,G5,IN: S4
,INDU,Indiana Dunes National Park,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,red fox,,Accepted,No,Approved,Present,,Native,,Unknown,Breeder,,,1,,,,,,,G5,IN: S4
,INDU,Indiana Dunes National Park,Mammal,1,Carnivora,Felidae,93329,180589,Active,Felis silvestris,"wild cat, Wildcat",Felis catus,Accepted,No,Approved,Present,,Non-native,,Rare,Vagrant,,,1,,,,,,,,
,INDU,Indiana Dunes National Park,Mammal,1,Carnivora,Felidae,93325,180585,Active,Lynx canadensis,"Canada lynx, Canadian Lynx, lynx",,Accepted,No,Approved,Not In Park,Historical,Native,,,,,,1,,,,T,,,G5,IN: SX
,INDU,Indiana Dunes National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,Bobcat,Felis rufus,Accepted,No,Approved,Unconfirmed,,Native,,,,,,1,,,,RT,,,G5,IN: S3
,INDU,Indiana Dunes National Park,Mammal,1,Carnivora,Felidae,260571,552479,Active,Puma concolor,"Cougar, mountain lion, Puma",Felis concolor,Accepted,No,Approved,Not In Park,Historical,Native,,,,,,1,,,,,,,G5,IN: SX
,INDU,Indiana Dunes National Park,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,Striped Skunk,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,,,,,,,G5,IN: S4
,INDU,Indiana Dunes National Park,Mammal,1,Carnivora,Mustelidae,93285,180549,Active,Lontra canadensis,"Common Otter, North American River Otter, Northern River Otter, River Otter",Lutra canadensis,Accepted,No,Approved,Not In Park,Historical,Native,,,,,,1,,,,RT,,,G5,IN: S3
,INDU,Indiana Dunes National Park,Mammal,1,Carnivora,Mustelidae,93298,180560,Active,Martes pennanti,Fisher,,Accepted,No,Approved,Not In Park,Historical,Native,,,,,,1,,,,,,,,
,INDU,Indiana Dunes National Park,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,Long-tailed Weasel,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,1,,,,,,,,
,INDU,Indiana Dunes National Park,Mammal,1,Carnivora,Mustelidae,93291,180554,Active,Mustela nivalis,Least Weasel,,Accepted,No,Approved,Present,,Native,,Rare,Breeder,,,1,,,,,IN: SC,,G5,IN: S2?
,INDU,Indiana Dunes National Park,Mammal,1,Carnivora,Mustelidae,93290,180553,Active,Mustela vison,American Mink,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,,,,,,,,
,INDU,Indiana Dunes National Park,Mammal,1,Carnivora,Mustelidae,93303,180565,Active,Taxidea taxus,american badger,,Accepted,No,Approved,Probably Present,,Native,,,,,,1,,,,SC,IN: SC,,G5,IN: S2
,INDU,Indiana Dunes National Park,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,raccoon,,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,,,2,,,,,,,G5,IN: S4
,INDU,Indiana Dunes National Park,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,american black bear,,Accepted,No,Approved,Not In Park,Historical,Native,,,,,,1,,,,,IN: SC,,G5,IN: SX
,INDU,Indiana Dunes National Park,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,Big Brown Bat,,Accepted,No,Approved,Present,,Native,,Common,Resident,,,3,,,,SC,,,G5,IN: S4
,INDU,Indiana Dunes National Park,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,"Black Bat, Silver-black Bat, Silver-haired Bat",,Accepted,No,Approved,Present,,Native,,Common,Resident,,,2,,,,SC,IN: SC,,G3G4,IN: SU
,INDU,Indiana Dunes National Park,Mammal,1,Chiroptera,Vespertilionidae,88739,180016,Active,Lasiurus borealis,"Eastern Red Bat, red bat",,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,3,,,,,IN: SC,,G3G4,IN: S4
,INDU,Indiana Dunes National Park,Mammal,1,Chiroptera,Vespertilionidae,88740,180017,Active,Lasiurus cinereus,"Hoary Bat, Northern Hoary Bat",,Accepted,No,Approved,Probably Present,,Native,,,,,,2,,,,SU,IN: SC,,G3G4,IN: S4
,INDU,Indiana Dunes National Park,Mammal,1,Chiroptera,Vespertilionidae,88706,179988,Active,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",,Accepted,No,Approved,Present,,Native,,Unknown,Resident,,,3,,,,UR,IN: SE,,G3G4,IN: S2
,INDU,Indiana Dunes National Park,Mammal,1,Chiroptera,Vespertilionidae,88722,180000,Active,Myotis septentrionalis,"Northern Bat, Northern Long-eared Bat, Northern Myotis",,Accepted,No,Approved,Present,,Native,,Uncommon,,,,4,,,,E,IN: SE,,G2G3,IN: S2S3
,INDU,Indiana Dunes National Park,Mammal,1,Chiroptera,Vespertilionidae,88723,180001,Active,Myotis sodalis,"Cluster Bat, Indiana bat, Indiana Myotis, Social Bat",,Accepted,No,Approved,Present,,Native,,Unknown,,,,3,,,,E,IN: SE,,G2,IN: S1
,INDU,Indiana Dunes National Park,Mammal,1,Chiroptera,Vespertilionidae,88746,180022,Active,Nycticeius humeralis,"Evening Bat, North American Evening Bat",,Accepted,No,Approved,Present,,Native,,Uncommon,,,,2,,,,,IN: SE,,G5,IN: S1
,INDU,Indiana Dunes National Park,Mammal,1,Chiroptera,Vespertilionidae,88749,180025,Active,Pipistrellus subflavus,Eastern Pipistrelle,,Accepted,No,Approved,Present,,Native,,Uncommon,,,,2,,,,SU,,,,
,INDU,Indiana Dunes National Park,Mammal,1,Didelphimorphia,Didelphidae,88114,179921,Active,Didelphis virginiana,Virginia Opossum,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,3,,,,,,,G5,IN: S4
,INDU,Indiana Dunes National Park,Mammal,1,Lagomorpha,Leporidae,89651,180124,Active,Sylvilagus floridanus,eastern cottontail,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,3,,,,,,,G5,IN: S4
,INDU,Indiana Dunes National Park,Mammal,1,Rodentia,Castoridae,90673,180212,Active,Castor canadensis,American Beaver,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,3,,,,,,,G5,IN: S4
,INDU,Indiana Dunes National Park,Mammal,1,Rodentia,Cricetidae,91703,180312,Active,Microtus ochrogaster,Prairie Vole,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,2,,,,,,,G5,IN: S4
,INDU,Indiana Dunes National Park,Mammal,1,Rodentia,Cricetidae,90766,180297,Active,Microtus pennsylvanicus,Meadow Vole,,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,,,3,,,,,,,G5,IN: S4
,INDU,Indiana Dunes National Park,Mammal,1,Rodentia,Cricetidae,91705,180314,Active,Microtus pinetorum,"Pine Vole, Woodland Vole",,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,2,,,,SU,,,G5,IN: S4
,INDU,Indiana Dunes National Park,Mammal,1,Rodentia,Cricetidae,91709,180318,Active,Ondatra zibethicus,muskrat,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,3,,,,,,,G5,IN: S4
,INDU,Indiana Dunes National Park,Mammal,1,Rodentia,Cricetidae,90745,180278,Active,Peromyscus leucopus,white-footed mouse,,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,,,3,,,,,,,G5,IN: S4
,INDU,Indiana Dunes National Park,Mammal,1,Rodentia,Cricetidae,152626,-501771,Active,Peromyscus maniculatus bairdii,prairie deer mouse,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,2,,,,,,,G5T5,
,INDU,Indiana Dunes National Park,Mammal,1,Rodentia,Cricetidae,91737,180343,Active,Reithrodontomys megalotis,Western Harvest Mouse,,Accepted,No,Approved,Unconfirmed,,Native,,,,,,2,,,,,,,G5,IN: S2
,INDU,Indiana Dunes National Park,Mammal,1,Rodentia,Cricetidae,91716,180324,Active,Synaptomys cooperi,southern bog lemming,,Accepted,No,Approved,Probably Present,,Native,,,,,,2,,,,,,,G5,IN: S3
,INDU,Indiana Dunes National Park,Mammal,1,Rodentia,Dipodidae,91784,180386,Active,Zapus hudsonius,meadow jumping mouse,,Accepted,No,Approved,Present,,Native,,Uncommon,Resident,,,3,,,,,,,G5,IN: S4
,INDU,Indiana Dunes National Park,Mammal,1,Rodentia,Erethizontidae,91792,180393,Active,Erethizon dorsatum,"common porcupine, porcupine",,Accepted,No,Approved,Not In Park,Historical,Native,,,,,,2,,,,,,,G5,IN: SX
