Region,Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Park Accepted,Sens?,Record Status,Occurrence,Occurrence Tags,Nativeness,Nativeness Tags,Abundance,NPS Tags,Park Tags,Internal Park Tags,References,Observations,Vouchers,ExternalLinks,T&E,State Status,Ozone,GRank,SRank
,ROMO,Rocky Mountain National Park,Mammal,1,Artiodactyla,Antilocapridae,95067,180717,Active,Antilocapra americana,Pronghorn Antelope,,Accepted,No,Approved,Present,,Native,,Occasional,Vagrant,,,1,1,,,,,,G5,CO: S4
,ROMO,Rocky Mountain National Park,Mammal,1,Artiodactyla,Bovidae,107797,203618,Active,Bos bison,American bison,Bison bison,Accepted,No,Approved,Not In Park,Historical,Native,,,,,,2,,11,,,,,,
,ROMO,Rocky Mountain National Park,Mammal,1,Artiodactyla,Bovidae,86816,183838,Active,Bos taurus,"aurochs, Aurochs, domestic cattle (feral), domesticated cattle",,Accepted,No,Approved,Present,,Non-native,Cultivated,,,,,,,1,,,,,G5,
,ROMO,Rocky Mountain National Park,Mammal,1,Artiodactyla,Bovidae,95063,180713,Active,Oreamnos americanus,Mountain Goat,,Accepted,No,Approved,Not In Park,Adjacent,Non-native,,,Vagrant,,,,,,,,,,G5,CO: SNA
,ROMO,Rocky Mountain National Park,Mammal,1,Artiodactyla,Bovidae,95061,180711,Active,Ovis canadensis,bighorn sheep,,Accepted,No,Approved,Present,,Native,,Common,Exploitation Concern; Breeder,,,12,,8,,SC,,,G4,CO: S4
,ROMO,Rocky Mountain National Park,Mammal,1,Artiodactyla,Cervidae,95052,180703,Active,Alces alces,Moose,,Accepted,No,Approved,Present,,Native,,Uncommon,Exploitation Concern; Breeder,,,2,,,,,,,G5,CO: SNA
,ROMO,Rocky Mountain National Park,Mammal,1,Artiodactyla,Cervidae,95042,180695,Active,Cervus elaphus,"wapiti, or American elk",,Accepted,No,Approved,Present,,Native,,Abundant,Exploitation Concern; Breeder,,,29,,11,,,,,G5,CO: S5
,ROMO,Rocky Mountain National Park,Mammal,1,Artiodactyla,Cervidae,95045,180698,Active,Odocoileus hemionus,mule deer,Odocoileus hemionus hemionus,Accepted,No,Approved,Present,,Native,,Common,Exploitation Concern; Breeder,,,10,,9,,,,,G5,CO: S4
,ROMO,Rocky Mountain National Park,Mammal,1,Artiodactyla,Cervidae,95046,180699,Active,Odocoileus virginianus,white-tailed deer,,Accepted,No,Approved,Present,,Native,,Occasional,Vagrant,,,1,1,,,,,,G5,CO: S5
,ROMO,Rocky Mountain National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,coyote,,Accepted,No,Approved,Present,,Native,,Common,Exploitation Concern; Breeder,,,4,,3,,SC,,,G5,CO: S5
