Region,Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Park Accepted,Sens?,Record Status,Occurrence,Occurrence Tags,Nativeness,Nativeness Tags,Abundance,NPS Tags,Park Tags,Internal Park Tags,References,Observations,Vouchers,ExternalLinks,T&E,State Status,Ozone,GRank,SRank
,YELL,Yellowstone National Park,Mammal,1,Artiodactyla,Antilocapridae,95067,180717,Active,Antilocapra americana,"antelope, pronghorn",,Accepted,No,Approved,Present,,Native,,Common,Management Priority; Breeder,,,2,8,51,,,ID: Big Game,,G5,ID: S3; MT: S5; WY: S5
,YELL,Yellowstone National Park,Mammal,1,Artiodactyla,Bovidae,95055,180706,Active,Bison bison,"bison, buffalo",,Accepted,No,Approved,Present,,Native,,Abundant,Management Priority; Breeder,,,2,4,7,,,,,G4,ID: SNR; MT: S2; WY: S1
,YELL,Yellowstone National Park,Mammal,1,Artiodactyla,Bovidae,95063,180713,Active,Oreamnos americanus,"mountain goat, Mountain Goat, Rocky Mountain goat",,Accepted,No,Approved,Present,,Non-native,,Uncommon,,,,2,1,,,,ID: Big Game,,G5,ID: S3; MT: S4; WY: SNA
,YELL,Yellowstone National Park,Mammal,1,Artiodactyla,Bovidae,95061,180711,Active,Ovis canadensis,"bighorn sheep, Bighorn Sheep",,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,2,26,3,,SC,"ID: Big Game; WY: NSS4(Bc),SOPC",,G4,ID: S2; MT: S4; WY: S2S3
,YELL,Yellowstone National Park,Mammal,1,Artiodactyla,Cervidae,95052,180703,Active,Alces alces,"Eurasian Elk, moose",,Accepted,No,Approved,Present,,Unknown,,Uncommon,Breeder,,,1,18,,,,,,G5,ID: S3; MT: S4; WY: S4
,YELL,Yellowstone National Park,Mammal,1,Artiodactyla,Cervidae,891452,898973,Active,Alces alces shirasi,Yellowstone moose,,Accepted,No,Approved,Present,,Native,,Uncommon,,,,2,,,,,,,G5TNR,
,YELL,Yellowstone National Park,Mammal,1,Artiodactyla,Cervidae,95042,180695,Active,Cervus elaphus,Rocky Mountain Elk,,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,,,2,29,1,,,,,G5,ID: S4; MT: S5; WY: S5
,YELL,Yellowstone National Park,Mammal,1,Artiodactyla,Cervidae,95045,180698,Active,Odocoileus hemionus,"mule deer, Mule Deer",,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,,,2,,1,,,ID: Big Game,,G5,ID: S4; MT: S5; WY: S5
,YELL,Yellowstone National Park,Mammal,1,Artiodactyla,Cervidae,95046,180699,Active,Odocoileus virginianus,"white-tailed deer, White-tailed Deer",,Accepted,No,Approved,Present,,Unknown,,Uncommon,Breeder,,,2,4,,,,ID: Big Game,,G5,ID: S5; MT: S5; WY: S5
,YELL,Yellowstone National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,Coyote,,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,,,2,340,1,,SC,ID: Predatory,,G5,ID: S5; MT: S5; WY: S5
,YELL,Yellowstone National Park,Mammal,1,Carnivora,Canidae,93337,180596,Active,Canis lupus,"Gray Wolf, Wolf",,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,2,18,4,,UR,ID: Big Game; WY: SOC,,G5,ID: S4; MT: S4; WY: S1
,YELL,Yellowstone National Park,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,Red Fox,,Accepted,No,Approved,Present,,Unknown,,Common,Breeder,,,2,60,3,,,ID: Furbearing Animals,,G5,ID: S4; MT: S5; WY: S5
,YELL,Yellowstone National Park,Mammal,1,Carnivora,Felidae,93325,180585,Active,Lynx canadensis,"Canada lynx, Canadian Lynx, lynx",,Accepted,No,Approved,Present,,Native,,Rare,Breeder,,,2,37,,,T,"ID: Furbearing Animals; MT: SOC; WY: NSS1(Aa),SOC",,G5,MT: S3; WY: S1
,YELL,Yellowstone National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,Bobcat,Felis rufus,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,2,24,1,,RT,ID: Furbearing Animals,,G5,ID: S4; MT: S5; WY: S5
,YELL,Yellowstone National Park,Mammal,1,Carnivora,Felidae,260571,552479,Active,Puma concolor,"Cougar, mountain lion, Puma",,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,2,135,3,,,ID: Big Game,,G5,ID: S5; MT: S4; WY: S4
,YELL,Yellowstone National Park,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,Striped Skunk,,Accepted,No,Approved,Present,,Native,,Rare,Breeder,,,2,,,,,ID: Predatory,,G5,ID: S4; MT: S5; WY: S5
,YELL,Yellowstone National Park,Mammal,1,Carnivora,Mephitidae,264255,552466,Active,Spilogale gracilis,Western Spotted Skunk,,Accepted,No,Approved,Unconfirmed,,Unknown,,,,,,1,,,,,ID: Predatory; WY: NSSU,,G5,ID: S4; MT: SU; WY: S3S4
,YELL,Yellowstone National Park,Mammal,1,Carnivora,Mustelidae,93288,180551,Active,Gulo gulo,Wolverine,Gulo luscus,Accepted,No,Approved,Present,,Native,,Rare,Resident,,,3,22,,,,"ID: Protected Nongame; MT: SOC; WY: NSS3(Bb),SOC",,G4,ID: S1; MT: S3; WY: S1S2
,YELL,Yellowstone National Park,Mammal,1,Carnivora,Mustelidae,93311,180572,Active,Lutra canadensis,River Otter,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,3,116,4,,,,,,
,YELL,Yellowstone National Park,Mammal,1,Carnivora,Mustelidae,93296,180559,Active,Martes americana,Pine Marten,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,3,112,6,,,ID: Furbearing Animals,,G5,ID: S5; MT: S4
,YELL,Yellowstone National Park,Mammal,1,Carnivora,Mustelidae,93298,180560,Active,Martes pennanti,Fisher,,Accepted,No,Approved,Unconfirmed,,Unknown,,,,,,1,3,,,,,,,
,YELL,Yellowstone National Park,Mammal,1,Carnivora,Mustelidae,93292,180555,Active,Mustela erminea,"ermine, short tailed weasel",,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,3,2,1,,,ID: Predatory,,GNR,
,YELL,Yellowstone National Park,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,Long-tailed Weasel,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,3,38,2,,,ID: Predatory,,,
,YELL,Yellowstone National Park,Mammal,1,Carnivora,Mustelidae,93290,180553,Active,Mustela vison,American Mink,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,2,33,4,,,,,,
,YELL,Yellowstone National Park,Mammal,1,Carnivora,Mustelidae,93303,180565,Active,Taxidea taxus,"American Badger, Badger",,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,3,1,3,,SC,ID: Furbearing Animals,,G5,ID: S4; MT: S4; WY: S5
,YELL,Yellowstone National Park,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,"common raccoon, Northern Raccoon, Raccoon",,Accepted,No,Approved,Present,,Unknown,,Uncommon,Breeder,,,2,6,,,,ID: Predatory,,G5,ID: S5; MT: S5; WY: S5
,YELL,Yellowstone National Park,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,"American Black Bear, black bear",,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,2,155,5,,,ID: Big Game,,G5,ID: S4; MT: S5; WY: S5
,YELL,Yellowstone National Park,Mammal,1,Carnivora,Ursidae,107229,202385,Active,Ursus arctos horribilis,Grizzly Bear,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,2,247,4,,T,,,,
,YELL,Yellowstone National Park,Mammal,1,Chiroptera,Vespertilionidae,88728,180006,Active,Antrozous pallidus,Pallid Bat,,Accepted,No,Approved,Unconfirmed,,Native,,,,,,4,,,,SC,"ID: Protected Nongame; MT: SOC; WY: NSS3(Bb),SOC",,G4,ID: S3; MT: S3; WY: S2S3B
,YELL,Yellowstone National Park,Mammal,1,Chiroptera,Vespertilionidae,115231,203452,Active,Corynorhinus townsendii,"mule-eared bat, Pacific Townsend's big-eared bat, Townsend's Big-eared Bat, western big-eared bat, western long-eared bat, western lump-nosed bat","Plecotus townsendii pallescens, Plecotus townsendii townsendii",Accepted,No,Approved,Present,,Native,,Rare,Breeder,,,6,,1,,,"ID: Protected Nongame; MT: SOC; WY: NSS3(Bb),SOC",,G4,"ID: S3; MT: S3; WY: S2B,S1N"
,YELL,Yellowstone National Park,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,Big Brown Bat,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,8,,,,SC,ID: Protected Nongame,,G5,ID: S3; MT: S4; WY: S5
,YELL,Yellowstone National Park,Mammal,1,Chiroptera,Vespertilionidae,88733,180010,Active,Euderma maculatum,"Pinto Bat, Spotted Bat",,Accepted,No,Approved,Unconfirmed,,Native,,,,,,5,,,,SC,"ID: Protected Nongame; MT: SOC; WY: NSS4(Bc),SOC",,G4,ID: S3; MT: S3; WY: S1S2B
,YELL,Yellowstone National Park,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,"Black Bat, Silver-black Bat, Silver-haired Bat",,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,8,1,,,SC,ID: Protected Nongame; MT: PSOC; WY: SOPC,,G3G4,ID: S3; MT: S4; WY: S3B
,YELL,Yellowstone National Park,Mammal,1,Chiroptera,Vespertilionidae,88740,180017,Active,Lasiurus cinereus,"Hoary Bat, Northern Hoary Bat",,Accepted,No,Approved,Present,,Native,,Uncommon,,,,6,,,,SU,ID: Protected Nongame; MT: SOC; WY: SOPC,,G3G4,ID: S3; MT: S3B; WY: S4B
,YELL,Yellowstone National Park,Mammal,1,Chiroptera,Vespertilionidae,88710,179991,Active,Myotis californicus,"California Myotis, Californian Myotis",,Accepted,No,Approved,Present,,Unknown,,Unknown,,,,2,,,,SC,ID: Protected Nongame,,G5,ID: S3; MT: S4; WY: SNA
