Region,Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Park Accepted,Sens?,Record Status,Occurrence,Occurrence Tags,Nativeness,Nativeness Tags,Abundance,NPS Tags,Park Tags,Internal Park Tags,References,Observations,Vouchers,ExternalLinks,T&E,State Status,Ozone,GRank,SRank
,ZION,Zion National Park,Mammal,1,Artiodactyla,Bovidae,95061,180711,Active,Ovis canadensis,Bighorn Sheep,Ovis canadensis nelsoni,Accepted,No,Approved,Present,,Native,,Unknown,,,,30,,,,SC,,,G4,UT: S3?
,ZION,Zion National Park,Mammal,1,Artiodactyla,Cervidae,155879,-501601,Inactive,Cervus canadensis,Elk,"Cervus canadensis nelsoni, Cervus elaphus",Accepted,No,Approved,Present,,Native,,Common,Breeder,,,5,,,,,,,,
,ZION,Zion National Park,Mammal,1,Artiodactyla,Cervidae,95045,180698,Active,Odocoileus hemionus,Mule Deer,Odocoileus hemionus macrotis,Accepted,No,Approved,Present,,Native,,Unknown,Breeder,,,22,,1,,,,,G5,UT: S5
,ZION,Zion National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,Coyote,Canis latrans lestes,Accepted,No,Approved,Present,,Native,,Unknown,,,,4,,1,,SC,,,G5,UT: S5
,ZION,Zion National Park,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,Gray Fox,Urocyon cinereoargenteus scottii,Accepted,No,Approved,Present,,Native,,Unknown,Breeder,,,4,,2,,,,,G5,UT: S3S4
,ZION,Zion National Park,Mammal,1,Carnivora,Canidae,93349,180606,Active,Vulpes macrotis,Kit Fox,,Accepted,No,Approved,Unconfirmed,,Native,,,Management Priority,,,2,,,,,UT: SGCN,,G4,UT: S3
,ZION,Zion National Park,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,Red Fox,,Accepted,No,Approved,Present,,Native,,Unknown,,,,3,,,,,,,G5,UT: S5
,ZION,Zion National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,Bobcat,"Lynx rufus uinta, Lynx rufus baileyi, Lynx baileyi",Accepted,No,Approved,Present,,Native,,Unknown,Breeder,,,4,,4,,RT,,,G5,UT: S5
,ZION,Zion National Park,Mammal,1,Carnivora,Felidae,260571,552479,Active,Puma concolor,Mountain Lion,"Felis concolor kaibabensis, Felis concolor",Accepted,No,Approved,Present,,Native,,Unknown,Breeder,,,8,,6,,,,,G5,UT: S4
,ZION,Zion National Park,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,Striped Skunk,Mephitis mephitis estor,Accepted,No,Approved,Present,,Native,,Unknown,Breeder,,,4,,2,,,,,G5,UT: S5
,ZION,Zion National Park,Mammal,1,Carnivora,Mephitidae,264255,552466,Active,Spilogale gracilis,Western Spotted Skunk,Spilogale gracilis saxatilis,Accepted,No,Approved,Present,,Native,,Unknown,,,,4,,2,,,,,G5,UT: S3S4
,ZION,Zion National Park,Mammal,1,Carnivora,Mustelidae,93292,180555,Active,Mustela erminea,Ermine,,Accepted,No,Approved,Probably Present,,Native,,,,,,3,,,,,,,GNR,
,ZION,Zion National Park,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,Long-tailed Weasel,Mustela frenata nevadensis,Accepted,No,Approved,Present,,Native,,Unknown,Breeder,,,4,,1,,,,,,
,ZION,Zion National Park,Mammal,1,Carnivora,Mustelidae,93303,180565,Active,Taxidea taxus,American Badger,Taxidea taxus taxus,Accepted,No,Approved,Present,,Native,,Unknown,,,,4,,,,SC,,,G5,UT: S5
,ZION,Zion National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,Bassariscus astutus nevadensis,Accepted,No,Approved,Present,,Native,,Unknown,Breeder,,,4,,4,,SC,,,G5,UT: S3
,ZION,Zion National Park,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,Northern Raccoon,Procyon lotor pallidus,Accepted,No,Approved,Present,,Native,,Unknown,,,,5,,1,,,,,G5,UT: S5
,ZION,Zion National Park,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,American Black Bear,Ursus americanus amblyceps,Accepted,No,Approved,Present,,Native,,Unknown,,,,4,,,,,,,G5,UT: S3
,ZION,Zion National Park,Mammal,1,Chiroptera,Molossidae,89602,180080,Active,Eumops perotis,Western Bonneted Bat,,Accepted,No,Approved,Unconfirmed,,Native,,,,,,3,,,,,,,G4G5,
,ZION,Zion National Park,Mammal,1,Chiroptera,Molossidae,89608,180086,Active,Nyctinomops macrotis,Big Free-tailed Bat,"Tadarida macrotis, Tadarida molossa",Accepted,No,Approved,Present,,Native,,Unknown,Management Priority; Breeder,,,4,,2,,SC,,,G5,UT: S4
